iter	RMSE
209	0.1835313891
210	0.1830550288
211	0.182788557
212	0.1824764999
213	0.1819800099
214	0.181518294
215	0.1814665655
216	0.1814015886
217	0.181150592
218	0.1806255127
219	0.1803432822
220	0.1803194117
221	0.1798604247
222	0.1795215525
223	0.1792135761
224	0.1789859137
225	0.1785288077
226	0.1783069635
227	0.1779833303
228	0.1776958466
229	0.1772110759
230	0.1768232739
231	0.1765073771
232	0.1761226438
233	0.175843668
234	0.1757900117
235	0.1752420635
236	0.1750341268
237	0.1746459413
238	0.1745960331
239	0.1740314226
240	0.1736796674
241	0.1733044894
242	0.1730925383
243	0.1729046184
244	0.1727186603
245	0.172336299
246	0.1719415577
247	0.1717660521
248	0.1715401638
249	0.1709147137
250	0.1706799685
251	0.1703301629
252	0.1700903931
253	0.1698397715
254	0.1696523851
255	0.1695184163
256	0.1689443199
257	0.1685256198
258	0.1682866422
259	0.1682283608
260	0.1679921117
261	0.1678010759
262	0.1677800971
263	0.1676693592
264	0.167365045
265	0.1671376029
266	0.1668070542
267	0.1664425069
268	0.166331673
269	0.1662204108
270	0.1659399599
271	0.1658512569
272	0.165464213
273	0.1650949985
274	0.1648127526
275	0.1641591816
276	0.1638078333
277	0.163534136
278	0.1632452548
279	0.162992046
280	0.162727436
281	0.1624488939
282	0.1621530438
283	0.1618798245
284	0.161659285
285	0.1614304672
286	0.1612823809
287	0.1609030796
288	0.1606510495
289	0.1604729337
290	0.1602310724
291	0.1600605521
292	0.1598659355
293	0.1595674913
294	0.159137124
295	0.1586585862
296	0.1583116246
297	0.1581438398
298	0.157923525
299	0.1577372946
300	0.1574975171
301	0.1571694047
302	0.1567650587
303	0.1562523572
304	0.1560188507
305	0.1558060822
306	0.1553717801
307	0.1550415072
308	0.1547965518
309	0.1541279119
310	0.1538380214
311	0.1534420121
312	0.1530544732
313	0.1527814802
314	0.1526488393
315	0.1523366254
316	0.1520625704
317	0.1519019411
318	0.1517854559
319	0.1517000241
320	0.151516145
321	0.1513235667
322	0.1512639347
323	0.1510159082
324	0.1508286198
325	0.1504616677
326	0.1503217327
327	0.1501383938
328	0.149877336
329	0.1496347654
330	0.1493924114
331	0.1492913862
332	0.1490900854
333	0.1487677689
334	0.1486787802
335	0.1483650214
336	0.1481139843
337	0.1477820619
338	0.1476918521
339	0.1473047557
340	0.147059136
341	0.1469164711
342	0.1468041926
343	0.1466807743
344	0.1464571383
345	0.1462734894
346	0.1459516294
347	0.1458942013
348	0.1457441976
349	0.1455469976
350	0.1454331367
351	0.1453201358
352	0.1449541437
353	0.1448441377
354	0.1447769259
355	0.1445762417
356	0.1442778564
357	0.1440861153
358	0.1439143709
359	0.1436252671
360	0.1431862524
361	0.1429858131
362	0.1428694078
363	0.1424968178
364	0.1422674873
365	0.1420647057
366	0.1419740764
367	0.1417795484
368	0.1416945064
369	0.1415473447
370	0.1413366027
371	0.1412358683
372	0.140863667
373	0.1408021901
374	0.1406471141
375	0.1403211025
376	0.1401832166
377	0.1399847276
378	0.1398164753
379	0.1396039998
380	0.1394082051
381	0.1392103073
382	0.1389342134
383	0.1387988791
384	0.1385830811
385	0.1385218633
386	0.1383197732
387	0.1382507264
388	0.1382012711
389	0.1380947786
390	0.138025957
391	0.137920571
392	0.1377913416
393	0.1375836283
394	0.1374486003
395	0.1373339093
396	0.1372761267
397	0.1370650959
398	0.1369050304
399	0.1366265101
400	0.1365145777
401	0.1364377021
402	0.1362821088
403	0.1361626021
404	0.1358209614
405	0.1356097007
406	0.1354247765
407	0.1352403051
408	0.1349715146
409	0.1348814479
410	0.13460629
411	0.1343404888
412	0.1342702464
413	0.1341079127
414	0.1338902287
415	0.1336343546
416	0.1334682306
417	0.1332144008
418	0.1331386837
419	0.1329525413
420	0.132878945
421	0.1327863341
422	0.1324713155
423	0.1323934735
424	0.1321724018
425	0.1319973887
426	0.1319302542
427	0.1317449183
428	0.1316754345
429	0.1314771873
430	0.1313943577
431	0.1313598303
432	0.131184396
433	0.1310277183
434	0.1309162383
435	0.1306441593
436	0.1304872568
437	0.1303728713
438	0.1301923604
439	0.1300003139
440	0.1297781647
441	0.129529565
442	0.1294504479
443	0.1292361653
444	0.1291412356
445	0.1290439936
446	0.1289530726
447	0.1288990342
448	0.1287242448
449	0.1284382487
450	0.128269449
451	0.1281479484
452	0.1279630569
453	0.1276706409
454	0.1274693423
455	0.127296066
456	0.1271065626
457	0.1269455773
458	0.1266738474
459	0.126609787
460	0.1265000496
461	0.1262230874
462	0.125962726
463	0.1258770249
464	0.1256583564
465	0.1255600073
466	0.1252522407
467	0.1251094922
468	0.1249979002
469	0.1249430174
470	0.1247851981
471	0.1246390979
472	0.1245277317
473	0.1243522413
474	0.1242653462
475	0.1241807414
476	0.1239673405
477	0.1238674542
478	0.1237308961
479	0.1236023039
480	0.1235218942
481	0.1234339087
482	0.1233166753
483	0.1232209473
484	0.1230816461
485	0.1229593484
486	0.1228590366
487	0.1225935618
488	0.1224434321
489	0.1223050783
490	0.1221787188
491	0.1220932002
492	0.1220034312
493	0.1218335694
494	0.1217502762
495	0.1216135784
496	0.1214028525
497	0.1212973253
498	0.1211057117
499	0.1208739026
500	0.1207544562
501	0.120672023
502	0.1205975205
503	0.1204563638
504	0.1203430015
505	0.1202281827
506	0.1201600142
507	0.1200100923
508	0.1199362835
509	0.1198082446
510	0.1196229087
511	0.1194629053
512	0.1193621973
513	0.1193118573
514	0.1191076682
515	0.1190383447
516	0.1189715742
517	0.1189291456
518	0.1186522964
519	0.1184807871
520	0.1184442558
521	0.1182991818
522	0.1182109943
523	0.118099692
524	0.1179873224
525	0.1178750119
526	0.1177883749
527	0.1176831904
528	0.1175909129
529	0.1174377112
530	0.1173358634
531	0.1171632139
532	0.1169592799
533	0.1168561529
534	0.1166494962
535	0.1164825209
536	0.1163049998
537	0.1161999399
538	0.1161543808
539	0.1160545899
540	0.1158519567
541	0.1157819193
542	0.1156175326
543	0.1154415191
544	0.1153995032
545	0.1152388501
546	0.1151313428
547	0.1150239045
548	0.1149042508
549	0.1147862434
550	0.1146868828
551	0.1145362314
552	0.1145201292
553	0.1143782429
554	0.1141215972
555	0.1138893578
556	0.1138418865
557	0.1136319167
558	0.1134910866
559	0.113401169
560	0.1130302794
561	0.1127682292
562	0.1127613889
563	0.1125216867
564	0.1123727437
565	0.1121938061
566	0.1120308074
567	0.1117626877
568	0.1116135407
569	0.1114706184
570	0.1113728115
571	0.1111299948
572	0.111017744
573	0.1109791772
574	0.1109584828
575	0.110924421
576	0.1108099635
577	0.1106386882
578	0.1105171514
579	0.1104505389
580	0.1103744592
581	0.1103193765
582	0.1102968569
583	0.1101280138
584	0.1100595379
585	0.1099576967
586	0.1098239688
587	0.1096819029
588	0.1095276747
589	0.1094358149
590	0.1093225623
591	0.1092439114
592	0.1091236491
593	0.1089874293
594	0.10873729
595	0.1086289209
596	0.1085245064
597	0.1083385524
598	0.1082228478
599	0.108136064
600	0.1080468435
601	0.107909879
602	0.1078223635
603	0.1075621397
604	0.1074473165
605	0.1073221326
606	0.1071704829
607	0.1070357677
608	0.1068891286
609	0.1068150885
610	0.1066831248
611	0.1066218025
612	0.1064077401
613	0.106283846
614	0.1061464425
615	0.1060474197
616	0.1059089084
617	0.1057889244
618	0.1055599503
619	0.1053516619
620	0.1051989581
621	0.105006844
622	0.1048253963
623	0.1047340037
624	0.1046320195
625	0.1045946532
626	0.1044119802
627	0.1043565505
628	0.1042762577
629	0.104108274
630	0.1040257386
631	0.1038696209
632	0.1037177757
633	0.1036450751
634	0.1035015214
635	0.1033147759
636	0.1031153645
637	0.1030365733
638	0.102954023
639	0.1028323754
640	0.1027509639
641	0.1026846159
642	0.1024859326
643	0.1023724772
644	0.102308293
645	0.1021895531
646	0.1021894327
647	0.1020301634
648	0.1018515088
649	0.1018136039
650	0.1017561
651	0.1015945049
652	0.1015365607
653	0.101392503
654	0.1012116297
655	0.1011018169
656	0.1009522881
657	0.1007317038
658	0.1006136728
659	0.1005009957
660	0.1004038439
661	0.1002580678
662	0.1001746323
663	0.1000786503
664	0.09992420329
665	0.09985811061
666	0.0997078445
667	0.09964365861
668	0.09958125677
669	0.09952754641
670	0.09945290813
671	0.09935984328
672	0.09916409894
673	0.09909636596
674	0.09893094394
675	0.09882787499
676	0.09856868324
677	0.09847395189
678	0.09830814388
679	0.09808673732
680	0.09801903727
681	0.0979170863
682	0.09771923718
683	0.09764387569
684	0.09758536678
685	0.09738854377
686	0.0973008236
687	0.09721608273
688	0.09714937185
689	0.09700513998
690	0.09693473199
691	0.09675883369
692	0.09665656685
693	0.09662570798
694	0.09656325535
695	0.0963982389
696	0.09627857716
697	0.09622352825
698	0.09617279621
699	0.09607878687
700	0.09595424453
701	0.09588152197
702	0.09582260732
703	0.09567766151
704	0.09557291605
705	0.09548588786
706	0.09542789147
707	0.09535976282
708	0.09532292335
709	0.09525476765
710	0.0951342038
711	0.09503222431
712	0.09489336092
713	0.09474897614
714	0.09468680337
715	0.0944770099
716	0.09427532844
717	0.09416784418
718	0.09403451229
719	0.09392166422
720	0.0937314187
721	0.0936879064
722	0.09360427149
723	0.09356447565
724	0.0934494582
725	0.09327782979
726	0.09320221073
727	0.09307401254
728	0.09293478903
729	0.092836811
730	0.09279322117
731	0.09267267961
732	0.09255779146
733	0.09249419082
734	0.0923728273
735	0.0923158646
736	0.09225607631
737	0.09217611535
738	0.09210863309
739	0.09194381815
740	0.09183243264
741	0.09170826022
742	0.09161598139
743	0.09152076324
744	0.09138251368
745	0.09132547997
746	0.09126413148
747	0.09111393367
748	0.09105515786
749	0.09093328306
750	0.09082665498
751	0.09069396366
752	0.09060776366
753	0.09052421391
754	0.09025251379
755	0.09016572101
756	0.0901135569
757	0.08993229602
758	0.08987286868
759	0.08980375296
760	0.08972426342
761	0.08964593133
762	0.08954150594
763	0.08949761512
764	0.0894156124
765	0.08928586978
766	0.08926261554
767	0.08923783049
768	0.08919961852
769	0.08914963065
770	0.0891220435
771	0.08901814799
772	0.0888717533
773	0.0887682889
774	0.0887201074
775	0.08859267882
776	0.08853008463
777	0.08848305146
778	0.08834431834
779	0.08825287532
780	0.08818915836
781	0.08808601498
782	0.08800407726
783	0.08794609217
784	0.08791504004
785	0.08778352776
786	0.08776325678
787	0.08767942126
788	0.08757225839
789	0.08749470832
790	0.08733270144
791	0.08730300567
792	0.08727507856
793	0.08722428024
794	0.08716453246
795	0.08710308782
796	0.08706367204
797	0.08701348341
798	0.08692625822
799	0.08675974242
800	0.08668067986
801	0.08664508664
802	0.08646734658
803	0.0864291852
804	0.08633601912
805	0.08628846894
806	0.08623579449
807	0.086048705
808	0.0860220485
809	0.08588266841
810	0.08580777108
811	0.0857848812
812	0.08564679813
813	0.08559107835
814	0.08553088666
815	0.08543478721
816	0.08529265075
817	0.0851478612
818	0.08507185189
819	0.08500511718
820	0.08491031347
821	0.08475799924
822	0.08468698325
823	0.0846268574
824	0.08456318235
825	0.08447702399
826	0.08439046562
827	0.08430332454
828	0.08424019375
829	0.08418800998
830	0.08411664763
831	0.08405385779
832	0.08398578125
833	0.08389570482
834	0.08382132888
835	0.08378005436
836	0.08366906728
837	0.08356622033
838	0.08350986287
839	0.08347228549
840	0.08341803379
841	0.08339716993
842	0.08334767598
843	0.08330137411
844	0.08323842256
845	0.08320193776
846	0.08315634778
847	0.0830351693
848	0.08293266301
849	0.08283126236
850	0.08276590748
851	0.08268093265
852	0.08259924601
853	0.08250571371
854	0.08237746824
855	0.08229109995
856	0.08221759044
857	0.08208127449
858	0.08199515244
859	0.08194249411
860	0.08191622822
861	0.0817307738
862	0.08165627434
863	0.08164009307
864	0.08159430727
865	0.081532564
866	0.08140694695
867	0.08127918615
868	0.08119651205
869	0.08115986041
870	0.08112469744
871	0.08105786182
872	0.08095178247
873	0.08090962627
874	0.08086941266
875	0.08077009172
876	0.08065625304
877	0.08060639054
878	0.08054143768
879	0.08046991955
880	0.08040991688
881	0.08030862916
882	0.08028744632
883	0.08016197054
884	0.08001683992
885	0.07993335915
886	0.07985884611
887	0.07980123253
888	0.07970966542
889	0.07960775534
890	0.07954718344
891	0.07952449809
892	0.07942670053
893	0.07934380743
894	0.07926650882
895	0.0791814164
896	0.07909715885
897	0.07899375776
898	0.07896567115
899	0.0789188695
900	0.07884683662
901	0.07877526868
902	0.07874873466
903	0.0786571195
904	0.07855702514
905	0.07849563563
906	0.07838919071
907	0.07831036141
908	0.07823073005
909	0.07814423054
910	0.07801303475
911	0.07796020835
912	0.07790368416
913	0.07786362563
914	0.07781297183
915	0.07770338847
916	0.07765222859
917	0.07751469431
918	0.07745254894
919	0.07740409942
920	0.07733872822
921	0.07727190469
922	0.07716938542
923	0.07707312933
924	0.07699456219
925	0.07688491471
926	0.07679421664
927	0.076695907
928	0.07655186324
929	0.07645134635
930	0.07640336324
931	0.07635281666
932	0.07624413278
933	0.07613527821
934	0.0761034185
935	0.07605639527
936	0.07598525603
937	0.07588868015
938	0.07584612144
939	0.07580135082
940	0.07571872072
941	0.07566894528
942	0.07563257364
943	0.07555629234
944	0.07547568246
945	0.07539262258
946	0.07530152745
947	0.07520491525
948	0.07514241263
949	0.07503792436
950	0.07496583476
951	0.07489946576
952	0.07486526178
953	0.07481223264
954	0.07475266279
955	0.07463982525
956	0.07458119188
957	0.07450691066
958	0.07446272742
959	0.0743992386
960	0.07434970281
961	0.07431507121
962	0.07418851717
963	0.07406297874
964	0.07403526474
965	0.07393375331
966	0.07386898373
967	0.07377564737
968	0.07372329062
969	0.07365773002
970	0.07355351321
971	0.07347448462
972	0.07341960929
973	0.07337671383
974	0.07333540219
975	0.07328567733
976	0.07320247535
977	0.07315801153
978	0.07309409263
979	0.07303320989
980	0.07298406832
981	0.07287472256
982	0.07281461128
983	0.07273659667
984	0.07266278303
985	0.07260392306
986	0.072512552
987	0.07243504794
988	0.07238023407
989	0.07226696027
990	0.07223768954
991	0.07217613327
992	0.0720898588
993	0.07199434564
994	0.07193726684
995	0.07188035596
996	0.071824938
997	0.07178336141
998	0.07175499437
999	0.07171606974
